Constituency,Const. No.,Leading Candidate,State,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Adilabad,1,GODAM NAGESH,Telangana,Bharatiya Janata Party,ATHRAM SUGUNA,Indian National Congress,90652,Result Declared
Agra,18,PROF S P SINGH BAGHEL,Uttar Pradesh,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,271294,Result Declared
Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),Gujarat,Bharatiya Janata Party,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,461755,Result Declared
Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),Gujarat,Bharatiya Janata Party,BHARAT YOGENDRA MAKWANA,Indian National Congress,286437,Result Declared
Ahmednagar,37,NILESH DNYANDEV LANKE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929,Result Declared
AJMER,13,BHAGIRATH CHOUDHARY,Rajasthan,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,329991,Result Declared
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Uttar Pradesh,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,44345,Result Declared
Akola,6,ANUP SANJAY DHOTRE,Maharashtra,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,40626,Result Declared
Alappuzha,15,K. C VENUGOPAL,Kerala,Indian National Congress,A. M ARIFF,Communist Party of India (Marxist),63513,Result Declared
Alathur,9,K.RADHAKRISHNAN,Kerala,Communist Party of India (Marxist),RAMYA HARIDAS,Indian National Congress,20111,Result Declared
Aligarh,15,SATISH KUMAR GAUTAM,Uttar Pradesh,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,15647,Result Declared
Alipurduars,2,MANOJ TIGGA,West Bengal,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447,Result Declared
Allahabad,52,UJJWAL RAMAN SINGH,Uttar Pradesh,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,58795,Result Declared
Almora,3,AJAY TAMTA,Uttarakhand,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097,Result Declared
ALWAR,8,BHUPENDER YADAV,Rajasthan,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,48282,Result Declared
Amalapuram (SC),7,G M HARISH (BALAYOGI),Andhra Pradesh,Telugu Desam,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,342196,Result Declared
AMBALA,1,VARUN CHAUDHRY,Haryana,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,49036,Result Declared
Ambedkar Nagar,55,LALJI VERMA,Uttar Pradesh,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,137247,Result Declared
Amethi,37,KISHORI LAL,Uttar Pradesh,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,167196,Result Declared
Amravati,7,BALWANT BASWANT WANKHADE,Maharashtra,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,19731,Result Declared
Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,Gujarat,Bharatiya Janata Party,JENNY THUMMAR,Indian National Congress,321068,Result Declared
Amritsar,2,GURJEET SINGH AUJLA,Punjab,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,40301,Result Declared
